기업명,기업구분,모집분야,모집인원,고용형태,직급/직책,급여,근무시간,근무지주소,경력,학력,우대조건,스킬,핵심역량,기업URL,domain_id,domain_name,_matched_master_skills
㈜트루팜,,모집분야 마케팅 홍보 광고 SNS,1명,정규직,"주임~대리급, 과장~차장급",회사 내규에 따름 (면접 후 결정),"주5일(월~금) | 08:00 ~ 12:00, 13:00 ~ 17:00 | 탄력근무제 | 일 근무 시간 자유롭게 선택 가능(4시간 이상 가능)","서울 강남구 테헤란로78길 14-14 (대치동, 제나빌딩) 8층 (주)트루팜 | 지도보기",(2년이상),학력무관,"공모전 입상자, 학점우수(대졸 4.0이상), 인근거주자, 컴퓨터활용능력 우수자, 운전가능자, 프리젠테이션 능력우수자, 유관업무 경험자(인턴·알바), 엑셀 고급능력 보유자, 문서작성 우수자, 포토샵 능숙자, 관련 학과 전공자, 관련 자격증 보유자, 리더쉽 소유자, 우수사원 수상자, 유관업무 경력자(2년) | 광고홍보학과, 경영학과, 데이터경영학전공","Google Analytics, Google Optimize, GTM",,https://www.jobkorea.co.kr/Recruit/GI_Read/48657201?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,"Google Analytics, Google Optimize"
㈜캘리스코,,"모집분야 외식마케팅, 마케팅BM",1명,정규직 | (수습 3개월),"사원급, 주임~대리급 | 팀원, 팀장/매니저/실장",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 08:30 ~ 17:30,"서울 강남구 역삼로 115 (역삼동, 아워홈역삼빌딩) 2F 캘리스코 | 지도보기",(3년이상),학력무관,유관업무 경력자(3년),"Google Analytics, Excel, PowerPoint, Lever, AppsFlyer","협동심, | 계획성, | 성실성, | 꼼꼼함, | 스트레스관리, | 적응성, | 창의성",https://www.jobkorea.co.kr/Recruit/GI_Read/48654602?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
골프로봇8㈜,,모집분야 웹 개발자,2명,"계약직 | (근무기간 4개월, 정규직 전환 가능)",면접 후 결정,"연봉 5,000~6,000만원 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00,"부산 강서구 과학산단1로60번길 31 (지사동, 부산테크노파크) | 지도보기",(3년이상),초대졸이상,,".Net, ASP, C#, C++",,https://www.jobkorea.co.kr/Recruit/GI_Read/48654339?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,"C#, C/C++"
㈜노랑풍선시티버스,,모집분야 마케팅 담당자 채용,1명,정규직,과장~차장급 | 팀원,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 중구 을지로15길 32 (입정동, 힐스테이트세운센트럴2단지) 309B호 | 지도보기",(4년이상),초대졸이상,"인근거주자, 컴퓨터활용능력 우수자, 프리젠테이션 능력우수자, 해외근무 가능자, 문서작성 우수자, 포토샵 능숙자, 관련 자격증 보유자, 유관업무 경력자(2년), 장기근무 가능자","Google Analytics, Excel, PowerPoint, Photoshop, 프리미어","계획성, | 성실성, | 성취지향성, | 꼼꼼함, | 윤리의식, | 적응성, | 창의성, | 협동심",https://www.jobkorea.co.kr/Recruit/GI_Read/48654320?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
㈜먼치킨,,모집분야 스포츠센터 매니저,1명,"정규직 | (수습 3개월) | , | 계약직 | (근무기간 6개월, 정규직 전환 가능) | 인턴 | (근무기간 1개월, 정규직 전환 가능)",주임~대리급 | 팀장/매니저/실장,"연봉 25,882만원 이상 (면접 후 결정)",주5일(월~금) | 10:00 ~ 16:00 | 근무시간은 센터 상황에 따라 변경가능,"서울 구로구 디지털로31길 12 (구로동, TP타워) 2층 | 지도보기",신입·경력 | (1년이상),초대졸이상 | (졸업예정자 가능),"영어가능자, 인근거주자, 컴퓨터활용능력 우수자, 리더쉽 소유자 | 2급 생활스포츠지도사(보디빌딩) | 체육계열","Google Analytics, Excel, Photoshop","계획성, | 성실성, | 성취지향성, | 꼼꼼함, | 스트레스관리, | 윤리의식, | 자존감, | 적응성, | 창의성, | 협동심, | 메타인지, | 성장지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48653478?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
올마이투어,,모집분야 Java Back-End Engineer,2명,정규직 | (수습 3개월),,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:30 ~ 18:30,서울 종로구 창경궁로 112-7 (인의동) 인의빌딩 1101호 올마이투어 | 지도보기,(5년이상),학력무관,,"AWS, GCP, Git, JAVA, Jenkins, MariaDB, MyBatis, MySQL, Linux, Spring Framework","협동심, | 성장지향성, | 성실성, | 성취지향성, | 꼼꼼함, | 적응성",https://www.jobkorea.co.kr/Recruit/GI_Read/48652506?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,"AWS, GCP, Git, Java, Jenkins, MariaDB, MyBatis, MySQL, Linux, Spring"
㈜디앤지컴퍼니본,,모집분야 디자이너,1명,정규직 | (수습 3개월),주임~대리급 | 팀원,월급 260~270만원,주5일(월~금) | 09:30 ~ 18:30,서울 영등포구 여의도한강공원길 231 (여의도동) 서울크루즈 1층 디엔지컴퍼니본 | 지도보기,(1년이상),고졸이상,,"HTML, CAD, Adobe XD, Photoshop","창의성, | 협동심, | 성실성, | 꼼꼼함, | 스트레스관리, | 적응성",https://www.jobkorea.co.kr/Recruit/GI_Read/48652348?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,HTML
㈜피에이치알코리아,,모집분야 디자인총괄부웹디자인,1명,정규직 | (수습 3개월),"사원급, 주임~대리급, 과장~차장급",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 종로구 새문안로 82 (신문로1가, 에스타워) | 지도보기",(2년이상),학력무관,,"API, CSS, HTML, HTML5, Jquery, PHP, SQL, 그누보드, Figma, Illustrator",,https://www.jobkorea.co.kr/Recruit/GI_Read/48645356?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,"API, CSS, HTML, jQuery, PHP, SQL"
㈜카일이삼제스퍼,,모집분야 it 개발,○명,정규직,,회사 내규에 따름,주5일(월~금) | 09:00 ~ 18:00,"서울 서초구 명달로 9 (방배동, 방배빌딩) 6층 | 지도보기",(5년이상),대졸이상,,"Git, JAVA, MSA, RDBMS",,https://www.jobkorea.co.kr/Recruit/GI_Read/48643896?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,"Git, Java, MSA, RDBMS"
아라마크㈜,,모집분야 재무,1명,정규직 | (수습 6개월),과장~차장급 | 팀원,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제,"서울 용산구 한남대로 98 (한남동, 일신빌딩) 4층 아라마크 | 지도보기",(5년이상),대졸이상,"국가유공자, 영어가능자, 컴퓨터활용능력 우수자, 프리젠테이션 능력우수자, 유관업무 경험자(인턴·알바), 보훈대상자, 엑셀 고급능력 보유자, 문서작성 우수자, 회계프로그램 능숙자 | 상경계열","Oracle, SAP, ERP, AICPA 자격, CPA 자격, FAT 자격, KICPA 자격, 세무회계 자격, 재경관리사 자격, 전산회계운용사 자격",,https://www.jobkorea.co.kr/Recruit/GI_Read/48638215?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Oracle
웨스턴팰리스웨딩,,모집분야 매장 매니저,1명,아르바이트 | (협의),팀장/매니저/실장,회사 내규에 따름 (면접 후 결정),"토요일,일요일 근무 | 08:00 ~ 18:00 | 자세한 근무시간은 면접시 협의합니다","인천 부평구 부평대로278번길 16 (갈산동, 부평관광호텔컨벤션센타) 웨스턴팰리스웨딩홀 | 지도보기",(1년이상),학력무관,,"Google Optimize, 바리스타 자격",,https://www.jobkorea.co.kr/Recruit/GI_Read/48637157?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Optimize
호시절,,모집분야 SNS 콘텐츠 오퍼레이터,1명,"정규직 | (수습 6개월) | , | 계약직 | (근무기간 6개월, 정규직 전환 가능) | 인턴",,"연봉 2,600~2,800만원 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제,경남 양산시 물금읍 백호2길 11 (가촌리) | 지도보기,경력무관,학력무관,"영어가능자, 일본어가능자, 컴퓨터활용능력 우수자, 프리젠테이션 능력우수자, 엑셀 고급능력 보유자, 플래시 액션스크립트 능숙자 , 포토샵 능숙자, 유관업무 경력자","Google Analytics, 프리미어, Photoshop Lightroom, Adobe Software, 영상편집","성취지향성, | 꼼꼼함, | 창의성, | 협동심, | 메타인지, | 성장지향성, | 계획성, | 성실성",https://www.jobkorea.co.kr/Recruit/GI_Read/48636212?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
㈜카랑,,모집분야 ASP웹개발,1명,정규직 | (수습 3개월),,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 성동구 성수이로22길 37 (성수동2가, 성수동아크벨리) 401호 | 지도보기",(5년이상),학력무관,,ASP.NET,,https://www.jobkorea.co.kr/Recruit/GI_Read/48626637?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,ASP.NET
㈜한차오,,모집분야 일본 여행사이트 KONEST 콘텐츠팀 스탭모집,○명,"계약직 | (근무기간 12개월, 정규직 전환 가능)",팀원,월급 300만원 이상 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 마포구 월드컵로25길 46 (망원동, 남일빌딩) | 지도보기",경력무관,학력무관,,"Google Analytics, Excel, 일본어, 한국어, Office, 한국국내관광지지식","계획성, | 성실성, | 꼼꼼함, | 스트레스관리, | 성장지향성, | 성취지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48634742?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
㈜투어픽,,모집분야 국내외여행사,1명,정규직 | (수습 3개월),,"연봉 3,500만원 이상 (면접 후 결정)",주5일(월~금) | 10:00 ~ 18:00 | 주 35시간 근무,"경기 성남시 분당구 판교로255번길 9-22 (삼평동, 판교우림W-CITY) 우림W-CITY 907호 | 지도보기",(3년이상),초대졸이상,,"Google Analytics, PowerPoint","성실성, | 성취지향성, | 꼼꼼함, | 협동심, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48630241?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
Manpower Group Malaysia(Experis),,모집분야 Secure AI Architect,2명,정규직,면접 후 결정,"연봉 10,000~13,000만원 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00,"서울 강남구 테헤란로 509 (삼성동, 엔씨타워 I) 한국 재택근무 | 지도보기",(5년이상),대졸이상,"관련 자격증 보유자, SC-100, SC-401, AZ-500","Microsoft365, AzureAD, M36Security, MicrosoftPurview","성실성, | 성취지향성, | 꼼꼼함, | 윤리의식, | 자존감, | 적응성",https://www.jobkorea.co.kr/Recruit/GI_Read/48625244?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Azure
인썸파티,,모집분야 퍼포먼스마케터,1명,"정규직 | (수습 3개월) | , | 계약직 | (근무기간 3개월, 정규직 전환 가능)",,"연봉 3,000~3,500만원 (면접 후 결정)",주5일(월~금) | 10:00 ~ 19:00,대전 중구 선화서로23번길 20 (선화동) 3층 | 지도보기,(3년이상),초대졸이상,"마케팅과, 마케팅경영과, 마케팅ㆍ광고학과","Google Analytics, Google Optimize, Optimizely, ChatGPT, Gemini",,https://www.jobkorea.co.kr/Recruit/GI_Read/48624518?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,"Google Analytics, Google Optimize"
렉스코드,,모집분야 프론트엔드 개발자,○명,정규직 | (수습 1개월),,"연봉 3,000만원 이상 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제,"서울 서초구 서초중앙로 41 (서초동, 대성빌딩) 6층, 지하 1층 | 지도보기",경력무관,대졸이상,,"React, Vue.js, Restful API",,https://www.jobkorea.co.kr/Recruit/GI_Read/48622800?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,"React, Vue.js, REST API"
㈜지냄,,모집분야 마케팅,1명,정규직 | (수습 3개월),,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 10:00 ~ 19:00 | 1시간 반 단위 시차출근제 운영,"서울 강남구 도산대로 458 (청담동, 청담한국빌딩) 5층 지냄 | 지도보기",(3년이상),초대졸이상,"유관업무 경험자(인턴·알바), 유관업무 경력자(3년)","Google Analytics, Microsoft Office",,https://www.jobkorea.co.kr/Recruit/GI_Read/48620510?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
나무컴퍼니,,모집분야 외식마케팅,○명,정규직 | (수습 3개월),면접 후 결정,"연봉 2,800~3,000만원 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제,서울 마포구 독막로6길 30 (합정동) 5층 | 지도보기,경력무관,학력무관,"컴퓨터활용능력 우수자, 문서작성 우수자, 포토샵 능숙자, 유관업무 경력자(1년), 디지털 광고 집행 및 분석 경험 (Meta Ads, Naver, Google 등), 촬영 및 편집 경험자, 직무에 진취적인 성향, F&B업계 경험자, 컨텐츠 기획, 운영경험(SNS)","Google Analytics, Figma, Illustrator, Photoshop, 파이널컷, 프리미어, Microsoft Office, 컴퓨터활용능력","계획성, | 성실성, | 성취지향성, | 꼼꼼함, | 협동심, | 성장지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48618972?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
㈜새롭,,모집분야 핫딜마켓 브랜드 마케터,1명,정규직 | (수습 3개월),팀원,"연봉 3,400~3,600만원",주5일(월~금) | 09:00 ~ 18:00,"경기 김포시 김포한강4로 487 (구래동, 한강신도시반도유보라4차) 1059호 | 지도보기",(1년이상),대졸이상,,"Google Analytics, Notion, Microsoft Office",,https://www.jobkorea.co.kr/Recruit/GI_Read/48618202?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
지노컴퍼니㈜,,"모집분야 기획마케팅, 바이럴마케팅, 마케팅디자인",○명,"정규직 | (수습 1개월) | , | 계약직 | (근무기간 1년, 정규직 전환 가능)","주임~대리급, 면접 후 결정 | 팀장/매니저/실장","연봉 2,800~3,500만원 (면접 후 결정)",주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제,"부산 해운대구 달맞이길 30 (중동, 엘시티) | 지도보기",(2년이상),초대졸이상,"영어가능자, 컴퓨터활용능력 우수자, 운전가능자, 엑셀 고급능력 보유자, 포토샵 능숙자, 관련 자격증 보유자, 장기근무 가능자","Google Analytics, Excel, Figma, Illustrator, Photoshop",,https://www.jobkorea.co.kr/Recruit/GI_Read/48615724?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,Google Analytics
㈜카카오VX,,모집분야 AI부스트 스크린 골프 풀스택 개발자,1명,정규직 | (수습 3개월),팀원,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,경기 성남시 분당구 판교로255번길 68 (삼평동) Ubiquoss 빌딩 | 지도보기,(3년이상),학력무관,,"Docker, Jenkins, MSSQL, MySQL, Node.js, PHP, RDBMS, Redis, Nest.js, Restful API",,https://www.jobkorea.co.kr/Recruit/GI_Read/48614164?rPageCode=SL&logpath=21&sn=6&sc=612,10001,서비스업,"Docker, Jenkins, MSSQL, MySQL, Node.js, PHP, RDBMS, Redis, NestJS, REST API"
㈜카카오VX,,모집분야 AI부스트 GMS 웹 시스템 개발자,1명,정규직 | (수습 3개월),팀원,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,경기 성남시 분당구 판교로255번길 68 (삼평동) Ubiquoss 빌딩 | 지도보기,(7년이상),학력무관,,"API, CSS, Javascript, Jenkins, MySQL, React, SaaS, Spring Boot, Vue.js, Gradle",,https://www.jobkorea.co.kr/Recruit/GI_Read/48614148?rPageCode=SL&logpath=21&sn=6&sc=612,10001,서비스업,"API, CSS, JavaScript, Jenkins, MySQL, React, SaaS, Spring Boot, Vue.js"
늘곁애라이프온㈜,,모집분야 영업기획 전산팀 모집,1명,정규직 | (수습 3개월),면접 후 결정 | 팀원,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 17:30,"부산 연제구 중앙대로 1066 (연산동, 동천빌딩) | 지도보기",경력무관,학력무관,"인근거주자, 문서작성 우수자, 즉시출근 가능자","JAVA, MariaDB, OracleDB, 파워빌더","꼼꼼함, | 적응성, | 협동심, | 계획성, | 성실성",https://www.jobkorea.co.kr/Recruit/GI_Read/48614083?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,"Java, MariaDB"
(주)시유플래닛,,모집분야 여행사 웹디자이너,○명,계약직 | (근무기간 3개월),사원급 | 팀원,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 13:00 ~ 18:00,"광주 서구 상무평화로 62 (치평동, 라인동산아파트) 상가1동 203호 | 지도보기",경력무관,초대졸이상,"영어가능자, 컴퓨터활용능력 우수자, 유관업무 경험자(인턴·알바)","CSS, HTML5, Photoshop, 망고보드, UI, UX","창의성, | 성장지향성, | 협동심, | 계획성, | 성취지향성",https://www.jobkorea.co.kr/Recruit/GI_Read/48613747?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,CSS
주식회사 미머디,,모집분야 IOS Front-end 앱개발,1명,"계약직 | (근무기간 6개월, 정규직 전환 가능)",,월급 330~330만원 (면접 후 결정),협의가능 | 10:00 ~ 19:00 | 탄력근무제 | 근무시간 협의 가능,"서울 구로구 디지털로33길 11 (구로동, 에이스테크노타워8차) | 지도보기",(3년이상),학력무관,,"Git, JAVA, Swift, SWIFT UI",,https://www.jobkorea.co.kr/Recruit/GI_Read/48604245?rPageCode=SL&logpath=21&sn=6&sc=611,10001,서비스업,"Git, Java, Swift"
㈜오토스테이,,모집분야 풀스택 엔지니어,○명,정규직 | (수습 3개월),,회사 내규에 따름,주5일(월~금) | 09:00 ~ 18:00 | 탄력근무제,"서울 강남구 봉은사로 331 (논현동, SH타워) 9층 오토스테이 | 지도보기",(3년이상),학력무관,,"GraphQL, Node.js, React, TypeScript, Braze, Amplitude, Next.js, API, AWS",,https://www.jobkorea.co.kr/Recruit/GI_Read/48603855?rPageCode=SL&logpath=21&sn=6&sc=612,10001,서비스업,"Node.js, React, TypeScript, Next.js, API, AWS"
㈜사랑모아금융서비스,,모집분야 사랑모아금융서비스 RPA개발자 경력사원,○명,정규직 | (수습 3개월),"사원급, 주임~대리급, 면접 후 결정 | 팀원",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,부산 부산진구 중앙대로 632 (범천동) 사랑모아금융서비스 10층 | 지도보기,(2년이상),초대졸이상 | (졸업예정자 가능),"관련 학과 전공자, 유관업무 경력자, JavaScript, MYSQL, 유지보수, 웹 개발, java, oracle, 개발 | 정보처리전공, 컴퓨터공학계열","JAVA, Javascript, MySQL, Oracle, Python, ERP, 백엔드, 웹개발, 그룹웨어","성실성, | 꼼꼼함, | 윤리의식, | 적응성, | 창의성, | 협동심, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48693699?rPageCode=SL&logpath=21&sn=6&sc=611,10002,금융은행업,"Java, JavaScript, MySQL, Oracle, Python"
㈜사랑모아금융서비스,,모집분야 사랑모아금융서비스 웹/백엔드 개발자 경력 채용,○명,정규직 | (수습 3개월),"주임~대리급, 면접 후 결정 | 팀원",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,부산 부산진구 중앙대로 632 (범천동) 2층 | 지도보기,(2년이상),초대졸이상 | (졸업예정자 가능),"관련 학과 전공자, 유관업무 경력자, JavaScript, MYSQL, 유지보수, 웹 개발, java, oracle, 개발 | 정보처리전공, 컴퓨터공학계열","JAVA, Javascript, MySQL, Oracle, Python, ERP, 백엔드, 웹개발, 그룹웨어","성실성, | 꼼꼼함, | 윤리의식, | 적응성, | 창의성, | 협동심, | 계획성",https://www.jobkorea.co.kr/Recruit/GI_Read/48693687?rPageCode=SL&logpath=21&sn=6&sc=611,10002,금융은행업,"Java, JavaScript, MySQL, Oracle, Python"
웰컴페이먼츠㈜,,모집분야 웰컴페이먼츠 AICT정보운영총괄본부 부문,5명,정규직 | (수습 3개월),"과장~차장급, 면접 후 결정 | 팀원, 팀장/매니저/실장",회사 내규에 따름 (면접 후 결정),주5일(월~금) | 08:30 ~ 18:00,"서울 용산구 한강대로 148 (한강로2가, 웰컴금융타워) 4층 웰컴페이먼츠 | 지도보기",(8년이상),학력무관,유관업무 경력자,"AWS, Azure, ISMS-P, CPPG, CISSP, CISA",,https://www.jobkorea.co.kr/Recruit/GI_Read/48690457?rPageCode=SL&logpath=21&sn=6&sc=611,10002,금융은행업,"AWS, Azure"
위루트파이낸셜㈜,,모집분야 PG사 시니어 풀스택/웹개발자 모집,1명,정규직 | (수습 3개월),,회사 내규에 따름 (면접 후 결정),주5일(월~금) | 09:00 ~ 18:00,"서울 금천구 디지털로9길 99 (가산동, 스타밸리) 1013호 | 지도보기",신입·경력,학력무관,컴퓨터공학부,"Git, JAVA, Ajax, Jquery, RestAPI, Spring Boot, SQL, 풀스택, Thymeleaf",,https://www.jobkorea.co.kr/Recruit/GI_Read/48690121?rPageCode=SL&logpath=21&sn=6&sc=611,10002,금융은행업,"Git, Java, Ajax, jQuery, Spring Boot, SQL"
